insee,ville,lat,lon,date,pluiew_mean,tw_mean
41440,Gorges du Verdon,43.7496562,6.3285616,2025-10-26,10.042857142857143,9.528571428571428
91960,Ariege,42.9455368,1.4065544,2025-10-26,4.857142857142857,11.450000000000001
110690,Carcassonne,43.2130358,2.3491069,2025-10-26,2.7285714285714286,15.478571428571428
130010,Aix en Provence,43.5298424,5.4474738,2025-10-26,5.257142857142858,14.292857142857144
130220,Cassis,43.2140359,5.5396318,2025-10-26,3.357142857142857,16.97142857142857
130550,Marseille,43.2961743,5.3699525,2025-10-26,1.7857142857142858,17.071428571428573
140470,Bayeux,49.2764624,-0.7024738,2025-10-26,5.8428571428571425,11.864285714285714
173000,La Rochelle,46.159732,-1.1515951,2025-10-26,8.614285714285714,14.614285714285714
212310,Dijon,47.3215806,5.0414701,2025-10-26,6.671428571428572,11.635714285714286
250560,Besancon,47.2380222,6.0243622,2025-10-26,14.171428571428573,11.799999999999999
300030,Aigues Mortes,43.5661521,4.19154,2025-10-26,1.3285714285714287,16.92142857142857
301890,Nimes,43.8374249,4.3600687,2025-10-26,1.7857142857142858,16.264285714285712
303340,Uzes,44.0121279,4.4196718,2025-10-26,5.914285714285714,13.835714285714285
315550,Toulouse,43.6044638,1.4442433,2025-10-26,5.871428571428572,14.985714285714286
381850,Grenoble,45.1875602,5.7357819,2025-10-26,16.8,13.971428571428572
593500,Lille,50.6365654,3.0635282,2025-10-26,7.3999999999999995,11.6
641020,Bayonne,43.4945144,-1.4736657,2025-10-26,13.428571428571429,16.85
660530,Collioure,42.52505,3.0831554,2025-10-26,0.7428571428571429,18.0
674820,Strasbourg,48.584614,7.7507127,2025-10-26,7.5,12.12142857142857
680660,Colmar,48.0777517,7.3579641,2025-10-26,6.628571428571429,11.700000000000001
680780,Eguisheim,48.0447968,7.3079618,2025-10-26,6.714285714285714,11.678571428571429
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-26,6.3428571428571425,11.299999999999999
691230,Lyon,45.7578137,4.8320114,2025-10-26,7.142857142857143,13.607142857142858
740100,Annecy,45.8992348,6.1288847,2025-10-26,16.87142857142857,10.207142857142857
751050,Paris,48.8534951,2.3483915,2025-10-26,4.271428571428571,12.514285714285714
763510,Le Havre,49.4938975,0.1079732,2025-10-26,16.214285714285715,12.357142857142858
765400,Rouen,49.4404591,1.0939658,2025-10-26,9.285714285714286,11.957142857142857
800210,Amiens,49.8941708,2.2956951,2025-10-26,7.642857142857143,11.542857142857143
821210,Montauban,44.0175835,1.3549991,2025-10-26,9.857142857142858,14.757142857142856
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-26,7.242857142857143,15.935714285714285
840070,Avignon,43.9492493,4.8059012,2025-10-26,9.785714285714286,14.814285714285715
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-26,0.7714285714285715,17.014285714285712
3528885,St Malo,48.649518,-2.0260409,2025-10-26,9.814285714285715,13.064285714285713
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-26,10.457142857142857,12.385714285714286
6412251,Biarritz,43.4832523,-1.5592776,2025-10-26,13.357142857142858,16.685714285714287
