insee,ville,lat,lon,date,tmin,tmax,pluie
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-20,12.6,17.4,1.7
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-21,11.4,16.9,0.8
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-22,12.1,17.9,15.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-23,10.6,13.5,21.6
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-24,7.6,13.6,13.4
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-25,7.4,14.4,10.7
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-26,5.6,12.4,10.0
3528885,St Malo,48.649518,-2.0260409,2025-10-20,13.5,17.2,2.9
3528885,St Malo,48.649518,-2.0260409,2025-10-21,11.7,17.5,0.4
3528885,St Malo,48.649518,-2.0260409,2025-10-22,12.4,17.4,13.1
3528885,St Malo,48.649518,-2.0260409,2025-10-23,10.4,16.1,19.8
3528885,St Malo,48.649518,-2.0260409,2025-10-24,9.1,13.2,9.2
3528885,St Malo,48.649518,-2.0260409,2025-10-25,9.1,14.0,11.7
3528885,St Malo,48.649518,-2.0260409,2025-10-26,8.2,13.1,11.6
140470,Bayeux,49.2764624,-0.7024738,2025-10-20,12.9,16.5,5.0
140470,Bayeux,49.2764624,-0.7024738,2025-10-21,12.1,16.0,1.6
140470,Bayeux,49.2764624,-0.7024738,2025-10-22,11.7,15.6,11.6
140470,Bayeux,49.2764624,-0.7024738,2025-10-23,9.6,13.2,11.9
140470,Bayeux,49.2764624,-0.7024738,2025-10-24,7.7,11.6,2.4
140470,Bayeux,49.2764624,-0.7024738,2025-10-25,7.6,13.4,3.4
140470,Bayeux,49.2764624,-0.7024738,2025-10-26,6.2,12.0,5.0
763510,Le Havre,49.4938975,0.1079732,2025-10-20,13.9,17.6,4.0
763510,Le Havre,49.4938975,0.1079732,2025-10-21,12.4,15.6,1.3
763510,Le Havre,49.4938975,0.1079732,2025-10-22,12.0,16.5,16.0
763510,Le Havre,49.4938975,0.1079732,2025-10-23,10.9,14.0,33.8
763510,Le Havre,49.4938975,0.1079732,2025-10-24,8.1,12.6,22.5
763510,Le Havre,49.4938975,0.1079732,2025-10-25,8.2,12.6,23.1
763510,Le Havre,49.4938975,0.1079732,2025-10-26,6.5,12.1,12.8
765400,Rouen,49.4404591,1.0939658,2025-10-20,12.7,17.7,12.3
765400,Rouen,49.4404591,1.0939658,2025-10-21,11.6,16.1,0.6
765400,Rouen,49.4404591,1.0939658,2025-10-22,11.0,16.2,14.9
765400,Rouen,49.4404591,1.0939658,2025-10-23,10.5,13.4,17.9
765400,Rouen,49.4404591,1.0939658,2025-10-24,8.1,12.2,7.6
765400,Rouen,49.4404591,1.0939658,2025-10-25,8.0,12.4,5.3
765400,Rouen,49.4404591,1.0939658,2025-10-26,6.0,11.5,6.4
751050,Paris,48.8534951,2.3483915,2025-10-20,13.7,18.0,2.9
751050,Paris,48.8534951,2.3483915,2025-10-21,12.4,16.1,0.0
751050,Paris,48.8534951,2.3483915,2025-10-22,13.0,17.0,12.7
751050,Paris,48.8534951,2.3483915,2025-10-23,11.1,14.6,11.6
751050,Paris,48.8534951,2.3483915,2025-10-24,8.2,12.6,0.7
751050,Paris,48.8534951,2.3483915,2025-10-25,7.5,12.9,1.2
751050,Paris,48.8534951,2.3483915,2025-10-26,6.5,11.6,0.8
800210,Amiens,49.8941708,2.2956951,2025-10-20,13.4,16.6,7.5
800210,Amiens,49.8941708,2.2956951,2025-10-21,12.2,16.1,1.9
800210,Amiens,49.8941708,2.2956951,2025-10-22,11.1,15.1,10.1
800210,Amiens,49.8941708,2.2956951,2025-10-23,10.5,13.6,19.8
800210,Amiens,49.8941708,2.2956951,2025-10-24,7.4,11.0,7.5
800210,Amiens,49.8941708,2.2956951,2025-10-25,7.5,11.6,3.5
800210,Amiens,49.8941708,2.2956951,2025-10-26,5.5,10.0,3.2
593500,Lille,50.6365654,3.0635282,2025-10-20,13.2,16.1,9.5
593500,Lille,50.6365654,3.0635282,2025-10-21,12.7,15.4,10.1
593500,Lille,50.6365654,3.0635282,2025-10-22,11.4,14.2,5.5
593500,Lille,50.6365654,3.0635282,2025-10-23,11.2,13.4,19.7
593500,Lille,50.6365654,3.0635282,2025-10-24,8.1,11.7,1.9
593500,Lille,50.6365654,3.0635282,2025-10-25,7.6,11.7,1.5
593500,Lille,50.6365654,3.0635282,2025-10-26,5.6,10.1,3.6
674820,Strasbourg,48.584614,7.7507127,2025-10-20,9.7,16.7,5.9
674820,Strasbourg,48.584614,7.7507127,2025-10-21,12.6,16.6,1.7
674820,Strasbourg,48.584614,7.7507127,2025-10-22,12.1,17.7,8.8
674820,Strasbourg,48.584614,7.7507127,2025-10-23,11.4,17.1,22.5
674820,Strasbourg,48.584614,7.7507127,2025-10-24,8.7,12.6,6.5
674820,Strasbourg,48.584614,7.7507127,2025-10-25,7.6,11.1,3.5
674820,Strasbourg,48.584614,7.7507127,2025-10-26,6.1,9.7,3.6
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-20,9.6,15.6,7.8
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-21,10.6,16.6,1.3
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-22,9.9,17.5,5.7
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-23,10.6,16.6,20.3
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-24,7.7,12.0,3.4
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-25,7.0,10.4,2.3
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-26,5.1,9.0,3.6
680660,Colmar,48.0777517,7.3579641,2025-10-20,9.0,15.6,5.0
680660,Colmar,48.0777517,7.3579641,2025-10-21,11.7,17.7,1.8
680660,Colmar,48.0777517,7.3579641,2025-10-22,10.6,18.1,7.0
680660,Colmar,48.0777517,7.3579641,2025-10-23,10.6,17.1,23.6
680660,Colmar,48.0777517,7.3579641,2025-10-24,8.1,12.4,4.1
680660,Colmar,48.0777517,7.3579641,2025-10-25,7.1,11.0,1.7
680660,Colmar,48.0777517,7.3579641,2025-10-26,5.7,9.1,3.2
680780,Eguisheim,48.0447968,7.3079618,2025-10-20,9.5,15.9,3.8
680780,Eguisheim,48.0447968,7.3079618,2025-10-21,11.6,17.7,1.9
680780,Eguisheim,48.0447968,7.3079618,2025-10-22,10.7,18.2,6.3
680780,Eguisheim,48.0447968,7.3079618,2025-10-23,10.6,17.0,26.0
680780,Eguisheim,48.0447968,7.3079618,2025-10-24,7.6,12.4,4.1
680780,Eguisheim,48.0447968,7.3079618,2025-10-25,6.6,11.1,1.7
680780,Eguisheim,48.0447968,7.3079618,2025-10-26,5.2,9.4,3.2
250560,Besancon,47.2380222,6.0243622,2025-10-20,14.2,18.1,7.2
250560,Besancon,47.2380222,6.0243622,2025-10-21,12.4,15.7,6.0
250560,Besancon,47.2380222,6.0243622,2025-10-22,11.1,16.6,26.5
250560,Besancon,47.2380222,6.0243622,2025-10-23,9.2,16.0,31.4
250560,Besancon,47.2380222,6.0243622,2025-10-24,7.7,12.5,10.2
250560,Besancon,47.2380222,6.0243622,2025-10-25,7.0,10.6,8.1
250560,Besancon,47.2380222,6.0243622,2025-10-26,5.4,8.7,9.8
212310,Dijon,47.3215806,5.0414701,2025-10-20,13.6,16.9,7.2
212310,Dijon,47.3215806,5.0414701,2025-10-21,11.0,15.9,1.6
212310,Dijon,47.3215806,5.0414701,2025-10-22,10.0,16.7,15.4
212310,Dijon,47.3215806,5.0414701,2025-10-23,9.1,14.9,18.9
212310,Dijon,47.3215806,5.0414701,2025-10-24,6.9,13.4,1.3
212310,Dijon,47.3215806,5.0414701,2025-10-25,7.1,12.1,0.5
212310,Dijon,47.3215806,5.0414701,2025-10-26,5.6,9.7,1.8
740100,Annecy,45.8992348,6.1288847,2025-10-20,11.1,13.5,19.7
740100,Annecy,45.8992348,6.1288847,2025-10-21,11.2,14.1,8.0
740100,Annecy,45.8992348,6.1288847,2025-10-22,12.1,15.6,29.3
740100,Annecy,45.8992348,6.1288847,2025-10-23,9.9,16.1,42.3
740100,Annecy,45.8992348,6.1288847,2025-10-24,5.0,11.1,7.6
740100,Annecy,45.8992348,6.1288847,2025-10-25,5.2,9.2,6.4
740100,Annecy,45.8992348,6.1288847,2025-10-26,2.2,6.6,4.8
381850,Grenoble,45.1875602,5.7357819,2025-10-20,14.1,17.4,15.9
381850,Grenoble,45.1875602,5.7357819,2025-10-21,13.5,18.5,4.3
381850,Grenoble,45.1875602,5.7357819,2025-10-22,12.7,17.7,45.1
381850,Grenoble,45.1875602,5.7357819,2025-10-23,12.4,18.0,37.0
381850,Grenoble,45.1875602,5.7357819,2025-10-24,8.1,18.4,6.6
381850,Grenoble,45.1875602,5.7357819,2025-10-25,9.5,16.6,6.3
381850,Grenoble,45.1875602,5.7357819,2025-10-26,6.1,12.6,2.4
691230,Lyon,45.7578137,4.8320114,2025-10-20,14.5,18.1,13.9
691230,Lyon,45.7578137,4.8320114,2025-10-21,14.1,16.6,3.0
691230,Lyon,45.7578137,4.8320114,2025-10-22,13.6,17.4,17.3
691230,Lyon,45.7578137,4.8320114,2025-10-23,11.9,17.6,11.2
691230,Lyon,45.7578137,4.8320114,2025-10-24,8.5,16.1,2.0
691230,Lyon,45.7578137,4.8320114,2025-10-25,8.6,15.0,1.0
691230,Lyon,45.7578137,4.8320114,2025-10-26,6.4,12.1,1.6
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-20,9.4,11.0,53.9
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-21,8.5,13.7,1.5
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-22,7.7,15.1,1.1
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-23,8.0,14.2,13.8
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-24,4.1,13.5,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-25,4.1,12.9,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-26,0.0,11.2,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-20,15.1,17.6,50.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-21,10.0,21.1,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-22,12.6,22.9,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-23,13.7,22.1,0.7
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-24,11.2,19.7,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-25,10.1,19.6,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-26,8.7,18.7,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-20,16.6,19.9,22.5
130220,Cassis,43.2140359,5.5396318,2025-10-21,12.6,21.1,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-22,14.5,23.2,0.5
130220,Cassis,43.2140359,5.5396318,2025-10-23,15.7,22.5,0.5
130220,Cassis,43.2140359,5.5396318,2025-10-24,12.6,20.0,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-25,12.2,19.5,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-26,9.2,18.0,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-20,17.5,20.2,9.9
130550,Marseille,43.2961743,5.3699525,2025-10-21,13.4,20.7,0.3
130550,Marseille,43.2961743,5.3699525,2025-10-22,15.2,21.5,0.5
130550,Marseille,43.2961743,5.3699525,2025-10-23,16.6,21.6,1.8
130550,Marseille,43.2961743,5.3699525,2025-10-24,13.2,20.1,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-25,12.5,19.2,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-26,9.7,17.6,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-20,15.1,17.1,30.1
130010,Aix en Provence,43.5298424,5.4474738,2025-10-21,9.7,20.0,1.3
130010,Aix en Provence,43.5298424,5.4474738,2025-10-22,11.6,21.6,1.8
130010,Aix en Provence,43.5298424,5.4474738,2025-10-23,14.0,19.7,3.6
130010,Aix en Provence,43.5298424,5.4474738,2025-10-24,8.6,17.6,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-25,8.1,16.5,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-26,5.4,15.1,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-20,15.6,22.0,47.8
840070,Avignon,43.9492493,4.8059012,2025-10-21,9.1,19.1,3.6
840070,Avignon,43.9492493,4.8059012,2025-10-22,11.0,21.0,5.0
840070,Avignon,43.9492493,4.8059012,2025-10-23,12.6,20.1,12.1
840070,Avignon,43.9492493,4.8059012,2025-10-24,9.2,18.9,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-25,9.2,18.4,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-26,7.6,13.6,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-20,14.0,23.5,25.0
303340,Uzes,44.0121279,4.4196718,2025-10-21,9.9,16.6,3.6
303340,Uzes,44.0121279,4.4196718,2025-10-22,9.2,19.7,2.9
303340,Uzes,44.0121279,4.4196718,2025-10-23,11.2,18.7,9.9
303340,Uzes,44.0121279,4.4196718,2025-10-24,6.9,18.5,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-25,7.4,17.2,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-26,5.2,15.7,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-20,17.6,24.1,1.8
301890,Nimes,43.8374249,4.3600687,2025-10-21,11.6,19.7,3.6
301890,Nimes,43.8374249,4.3600687,2025-10-22,13.6,24.1,2.9
301890,Nimes,43.8374249,4.3600687,2025-10-23,14.2,21.1,4.2
301890,Nimes,43.8374249,4.3600687,2025-10-24,9.6,19.6,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-25,10.0,18.2,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-26,7.7,16.6,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-20,18.2,25.0,0.2
300030,Aigues Mortes,43.5661521,4.19154,2025-10-21,12.0,20.9,2.4
300030,Aigues Mortes,43.5661521,4.19154,2025-10-22,13.7,22.6,2.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-23,14.4,20.2,4.7
300030,Aigues Mortes,43.5661521,4.19154,2025-10-24,11.2,21.2,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-25,11.0,20.0,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-26,8.9,17.6,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-20,18.4,21.9,0.7
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-21,15.0,20.2,1.1
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-22,15.4,22.1,2.1
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-23,16.1,20.1,1.5
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-24,12.2,19.9,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-25,12.1,18.6,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-26,9.7,16.5,0.0
660530,Collioure,42.52505,3.0831554,2025-10-20,19.1,22.7,0.4
660530,Collioure,42.52505,3.0831554,2025-10-21,16.5,24.5,0.0
660530,Collioure,42.52505,3.0831554,2025-10-22,16.6,25.9,0.0
660530,Collioure,42.52505,3.0831554,2025-10-23,16.5,22.7,0.0
660530,Collioure,42.52505,3.0831554,2025-10-24,11.5,18.2,1.3
660530,Collioure,42.52505,3.0831554,2025-10-25,11.7,18.0,2.7
660530,Collioure,42.52505,3.0831554,2025-10-26,11.5,16.6,0.8
110690,Carcassonne,43.2130358,2.3491069,2025-10-20,15.9,20.6,1.1
110690,Carcassonne,43.2130358,2.3491069,2025-10-21,11.4,21.2,3.2
110690,Carcassonne,43.2130358,2.3491069,2025-10-22,12.6,24.2,2.5
110690,Carcassonne,43.2130358,2.3491069,2025-10-23,12.6,17.9,8.0
110690,Carcassonne,43.2130358,2.3491069,2025-10-24,10.6,20.1,0.2
110690,Carcassonne,43.2130358,2.3491069,2025-10-25,10.2,17.2,2.3
110690,Carcassonne,43.2130358,2.3491069,2025-10-26,8.0,14.2,1.8
091960,Ariege,42.9455368,1.4065544,2025-10-20,11.6,15.0,0.6
091960,Ariege,42.9455368,1.4065544,2025-10-21,9.2,16.7,1.8
091960,Ariege,42.9455368,1.4065544,2025-10-22,12.1,20.1,0.6
091960,Ariege,42.9455368,1.4065544,2025-10-23,9.7,14.2,14.5
091960,Ariege,42.9455368,1.4065544,2025-10-24,5.1,15.1,0.5
091960,Ariege,42.9455368,1.4065544,2025-10-25,7.0,12.2,8.2
091960,Ariege,42.9455368,1.4065544,2025-10-26,4.2,8.1,7.8
315550,Toulouse,43.6044638,1.4442433,2025-10-20,14.4,20.9,4.5
315550,Toulouse,43.6044638,1.4442433,2025-10-21,13.0,19.7,5.8
315550,Toulouse,43.6044638,1.4442433,2025-10-22,13.7,22.1,10.5
315550,Toulouse,43.6044638,1.4442433,2025-10-23,13.6,17.4,11.7
315550,Toulouse,43.6044638,1.4442433,2025-10-24,10.7,17.6,0.4
315550,Toulouse,43.6044638,1.4442433,2025-10-25,9.6,15.1,4.8
315550,Toulouse,43.6044638,1.4442433,2025-10-26,8.6,13.4,3.4
821210,Montauban,44.0175835,1.3549991,2025-10-20,14.4,19.9,12.4
821210,Montauban,44.0175835,1.3549991,2025-10-21,12.2,20.0,14.8
821210,Montauban,44.0175835,1.3549991,2025-10-22,13.1,21.2,19.8
821210,Montauban,44.0175835,1.3549991,2025-10-23,12.6,18.4,13.9
821210,Montauban,44.0175835,1.3549991,2025-10-24,10.2,17.6,1.4
821210,Montauban,44.0175835,1.3549991,2025-10-25,9.2,16.2,4.5
821210,Montauban,44.0175835,1.3549991,2025-10-26,8.0,13.6,2.2
6412251,Biarritz,43.4832523,-1.5592776,2025-10-20,15.4,20.9,7.6
6412251,Biarritz,43.4832523,-1.5592776,2025-10-21,15.1,20.6,13.5
6412251,Biarritz,43.4832523,-1.5592776,2025-10-22,16.6,23.6,0.0
6412251,Biarritz,43.4832523,-1.5592776,2025-10-23,16.1,17.6,23.7
6412251,Biarritz,43.4832523,-1.5592776,2025-10-24,13.6,18.0,9.2
6412251,Biarritz,43.4832523,-1.5592776,2025-10-25,12.9,16.1,21.3
6412251,Biarritz,43.4832523,-1.5592776,2025-10-26,11.5,15.6,18.2
641020,Bayonne,43.4945144,-1.4736657,2025-10-20,15.5,22.0,8.1
641020,Bayonne,43.4945144,-1.4736657,2025-10-21,15.1,22.1,13.3
641020,Bayonne,43.4945144,-1.4736657,2025-10-22,15.7,24.4,0.0
641020,Bayonne,43.4945144,-1.4736657,2025-10-23,15.6,18.5,23.9
641020,Bayonne,43.4945144,-1.4736657,2025-10-24,13.1,19.1,9.2
641020,Bayonne,43.4945144,-1.4736657,2025-10-25,12.2,16.1,21.3
641020,Bayonne,43.4945144,-1.4736657,2025-10-26,10.4,16.1,18.2
173000,La Rochelle,46.159732,-1.1515951,2025-10-20,15.2,18.9,7.6
173000,La Rochelle,46.159732,-1.1515951,2025-10-21,14.6,18.1,11.9
173000,La Rochelle,46.159732,-1.1515951,2025-10-22,15.2,18.2,23.2
173000,La Rochelle,46.159732,-1.1515951,2025-10-23,12.6,16.0,9.7
173000,La Rochelle,46.159732,-1.1515951,2025-10-24,12.0,15.5,4.4
173000,La Rochelle,46.159732,-1.1515951,2025-10-25,11.1,15.7,2.1
173000,La Rochelle,46.159732,-1.1515951,2025-10-26,7.6,13.9,1.4
